designation;m;h;b;tw;tf;r;A;d;Ix;Zex;Sx;rx;Iy;Zey;Sy;ry;J;Cw
152x152x23;23;152,4;152,4;6,1;6,8;7,6;2,97;124;12,6;165;184;65,1;4,02;52,7;;36,8;51,5;21,3
152x152x30;30;157,5;152,9;6,6;9,4;7,6;3,84;123;17,5;222;248;67,5;5,6;73,3;;38,2;108;30,7
152x152x37;37;161,8;154,4;8,1;11,5;7,6;4,73;124;22,1;274;309;68,4;7,06;91,5;;38,7;197;39,9
203x203x46;46,1;203,2;203,2;7,3;11;10,2;5,88;161;45,6;449;497;88,1;15,4;151;;51,2;225;142
203x203x52;52;206,2;203,9;8;12,5;10,2;6,64;161;52,5;510;567;89;17,7;173;;51,6;322;166
203x203x60;60;209,6;205,2;9,3;14,2;10,2;7,6;161;61;582;654;89,6;20,5;199;;51,9;475;195
203x203x71;71;215,9;206,2;10,3;17,3;10,2;9,09;161;76,3;707;801;91,6;25,3;245;;52,8;817;249
203x203x86;86,1;222,3;208,8;13;20,5;10,2;11;161;94,6;851;978;92,7;31,1;298;;53,2;1400;317
254x254x73;73,1;254,2;254;8,6;14,2;12,7;9,29;200;114;896;990;111;38,8;306;;64,6;578;559
254x254x89;88,9;260,4;255,9;10,5;17,3;12,7;11,4;200;143;1100;1230;112;48,3;378;;65,2;1040;714
254x254x107;107;266,7;258,3;13;20,5;12,7;13,7;200;175;1310;1480;113;58,9;456;;65,7;1750;893
254x254x132;132;276,4;261;15,6;25,1;12,7;16,8;200;224;1620;1860;116;74,5;571;;66,6;3180;1180
254x254x167;167;289,1;264,5;19,2;31,7;12,7;21,2;200;299;2070;2420;119;97,9;740;;67,9;6340;1620
305x305x97;96,9;307,8;304,8;9,9;15,4;15,2;12,3;247;222;1440;1590;134;72,7;477;;76,8;919;1550
305x305x118;118;314,5;306,8;11,9;18,7;15,2;15;247;276;1760;1950;136;90,1;587;;77,6;1620;1970
305x305x137;137;320,5;308,7;13,8;21,7;15,2;17,4;247;328;2040;2290;137;106;690;;78,2;2510;2380
305x305x158;158;327,2;310,6;15,7;25;15,2;20,1;247;387;2360;2670;139;125;805;;78,9;3810;2850
305x305x198;198;339,9;314,1;19,2;31,4;15,2;25,2;247;509;2990;3440;142;162;1030;;80,2;7440;3860
305x305x240;240;352,6;317,9;23;37,7;15,2;30,5;247;642;3640;4240;145;202;1270;;81,4;12700;5010
