designation;m;h;b;tw;tf;r;A;d;Ix;Zex;Sx;rx;Iy;Zey;Sy;ry;J;Cw
IPE-AA 100;6,72;97,6;55;3,6;4,5;7;0,856;74,6;1,36;27,8;31,9;39,8;0,126;4,57;;12,1;7,33;0,272
IPE 100;8,1;100;55;4,1;5,7;7;1,03;74,6;1,71;34,2;39,4;40,7;0,159;5,79;;12,4;12,1;0,354
IPE-AA 120;8,36;117;64;3,8;4,8;7;1,06;93,4;2,44;41,7;47,3;47,9;0,211;6,59;;14,1;9,55;0,663
IPE 120;10,4;120;64;4,4;6,3;7;1,32;93,4;3,18;53;60,7;49;0,277;8,65;;14,5;17,4;0,894
IPE-AA 140;10,1;136,6;73;3,8;5,2;7;1,28;112,2;4,07;59,7;67,6;56,4;0,338;9,27;;16,3;12;1,46
IPE 140;12,9;140;73;4,7;6,9;7;1,64;112,2;5,41;77,3;88,3;57,4;0,449;12,3;;16,5;24,6;1,99
IPE-AA 160;12,3;156,4;82;4;5,6;9;1,57;127,2;6,59;84,3;95,2;64,8;0,517;12,6097561;;18,1;18,2;2,94
IPE 160;15,8;160;82;5;7,4;9;2,01;127,2;8,69;109;124;65,8;0,683;16,65853659;;18,4;36,2;3,98
IPE-AA 180;14,9;176,4;91;4,3;6,2;9;1,9;146;10,2;116;130;73,2;0,781;17,16483516;;20,3;24,9;5,66
IPE 180;18,8;180;91;5,3;8;9;2,39;146;13,2;146;166;74,2;1,01;22,1978022;;20,5;48,1;7,46
IPE-AA 200;18;196,4;100;4,5;6,7;12;2,29;159;15,3;156;176;81,9;1,12;22,4;;22,1;38,7;10,1
IPE 200;22,4;200;100;5,6;8,5;12;2,85;159;19,4;194;221;82,6;1,42;28,5;;22,4;70,2;13,1
203x133x25;25,1;203,2;133,4;5,7;7,8;7,6;3,22;172,4;23,5;231;259;85,4;3,09;46,32683658;;31;59;29,5
203x133x30;30;206,8;133,8;6,4;9,6;7,6;3,8;172,4;28,9;279;313;87,2;3,84;57,39910314;;31,8;103;37,3
254x146x31;31,1;251,5;146,1;6;8,6;7,6;3,99;219,1;44,3;352;395;105;4,48;61,32785763;;33,5;84,9;66
254x146x37;37;256;146,4;6,3;10,9;7,6;4,74;219;55,5;433;485;108;5,71;78,00546448;;34,7;155;85,7
